Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Boreal/alpine Picea-Abies forest,Tibet,50,252396.1661,0.0313,437.06,5.233333333,939.75,2620,30.2,94.9,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,152,1628695.652,0.0253,439.33,4.066666667,895.46,3237,29.8,95.7,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,120,725880,0.025,421.54,-1.466666667,843.37,3900,31.5,98.2,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,100,310913.3489,0.0427,452.37,1.008333333,894.41,3750,31.4,94.3,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,100,350127.3885,0.0314,402.55,0.075,887.98,3800,31.2,96.5,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,110,311096.9388,0.0392,425.3,-1.058333333,878.6,3982,30.7,95.8,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,150,402621.8097,0.0431,385,3.016666667,884.4,4180,29.6,98.5,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,116,407649.6674,0.0451,400.14,2,874.76,3999,29.6,97.8,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,129,624627.3292,0.0322,339.11,-1.191666667,818.13,3642,29.9,93.3,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,143,961214.9533,0.0214,418.89,6.941666667,981.9,3631,29.5,94.3,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,140,897052.2388,0.0268,358.62,2.358333333,894.56,3274,29.2,94.1,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,149,1240769.231,0.0234,376.52,-0.116666667,832.7,3428,29.7,94.1,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,86,498210.5263,0.0475,405.14,1.791666667,901.57,3540,29.8,94.7,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,140,1709523.81,0.0168,207.33,0.55,815.31,2590,28.1,85.9,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,131,414366.7297,0.0529,171.92,-0.283333333,865.73,2786,28.9,85.2,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,105,268844.6215,0.0502,171.92,-0.283333333,865.73,3398,28.9,85.2,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,192,1778320,0.0125,1473.59,15.125,1013.56,3350,27.9,85.9,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,170,1257318.182,0.022,1473.59,15.125,1013.56,2710,27.9,85.9,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,160,688618.1818,0.0275,232.37,2.25,925.46,3835,29,93.1,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,76,1743254.438,0.0169,572.99,9.025,1008.09,2000,28.7,96.7,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,144,901133.7209,0.0344,599.08,9.383333333,1002.27,3616,28.4,97,Luo 1996
Boreal/alpine Picea-Abies forest,Tibet,125,796134.7518,0.0282,378.17,4.691666667,950.98,3600,29.9,93.8,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,128,212555.1232,0.0771,99.71,6.908333333,1160.53,2173,44.2,88,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,96,569236.7601,0.0642,133,5.258333333,1026.93,1870,43.4,82.2,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,115,1089619.289,0.0394,156.61,-4.533333333,807.47,1895,43.2,84.6,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,122,415157.6994,0.0539,63.91,5.508333333,1128.25,2197,44,89.1,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,122,275989.9497,0.0995,72.61,9.683333333,1248.77,2050,44.3,86.2,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,86,132207.1636,0.1033,32,4.508333333,1078.9,2210,43.8,90.3,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,58,24023.19133,0.3967,71.29,8.866666667,1208.98,2240,44.3,85.6,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,95,45392.69912,0.3616,71.29,8.866666667,1208.98,2133,44.3,85.6,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,261,1135753.846,0.0325,160.64,5.158333333,1022.33,2500,43.2,81.8,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,178,298772.3785,0.0782,98.28,6.058333333,1139.46,2285,43.9,87.7,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,108,145356.2654,0.1221,64.22,-2.033333333,883.27,2200,43.03,87.13,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,97,155647.7561,0.1181,34.28,6.141666667,1160.94,2170,43.3,88.3,Luo 1996
Boreal/alpine Picea-Abies forest,Sinkiang,116,353801.2422,0.0805,284.34,4.375,997.67,2283,43.1,81.1,Luo 1996
Boreal/alpine Picea-Abies forest,Yunnan,90,381275.9171,0.0627,552.1,11.65,1046.26,3390,27.45,98.96,Luo 1996
Boreal/alpine Picea-Abies forest,Yunnan,90,226742.1603,0.0574,552.1,11.65,1046.26,2810,27.53,98.96,Luo 1996
Boreal/alpine Picea-Abies forest,Yunnan,100,271908.4713,0.1027,534.49,9.058333333,995.11,3590,27.53,99.2,Luo 1996
Boreal/alpine Picea-Abies forest,Yunnan,200,246293.4363,0.1554,497.24,8.191666667,971.18,3780,27.82,99.14,Luo 1996
